no_cars,frame,no_cars_time,colours_detected,colours_detected_time,car_type,car_type_time
0,255,0.199646,,,,
0,256,0.204256,,,,
0,257,0.209054,,,,
0,258,0.198729,,,,
0,259,0.294894,,,,
0,260,0.24975,,,,
0,261,0.200527,,,,
0,262,0.205064,,,,
0,263,0.20161,,,,
0,264,0.198048,,,,
0,265,0.208554,,,,
0,266,0.198412,,,,
0,267,0.201256,,,,
0,268,0.204066,,,,
0,269,0.196309,,,,
0,270,0.198395,,,,
0,271,0.204342,,,,
0,272,0.195726,,,,
0,273,0.199773,,,,
0,274,0.202557,,,,
0,275,0.199094,,,,
0,276,0.19762,,,,
0,277,0.20236,,,,
0,278,0.199037,,,,
0,279,0.28712,,,,
0,280,0.268114,,,,
0,281,0.199282,,,,
0,282,0.202869,,,,
0,283,0.198684,,,,
0,284,0.205976,,,,
0,285,0.201997,,,,
0,286,0.19947,,,,
0,287,0.205339,,,,
0,288,0.204799,,,,
0,289,0.204678,,,,
0,290,0.202969,,,,
0,291,0.209141,,,,
0,292,0.271883,,,,
0,293,0.204427,,,,
0,294,0.267496,,,,
0,295,0.29451,,,,
0,296,0.281709,,,,
0,297,0.20204,,,,
0,298,0.20881,,,,
0,299,0.19616,,,,
0,300,0.197026,,,,
0,301,0.206308,,,,
0,302,0.199773,,,,
0,303,0.198266,,,,
0,304,0.268139,,,,
0,305,0.295125,,,,
0,306,0.203329,,,,
0,307,0.197219,,,,
0,308,0.19921,,,,
0,309,0.277756,,,,
0,310,0.278138,,,,
0,311,0.276359,,,,
0,312,0.200856,,,,
0,313,0.197254,,,,
0,314,0.201807,,,,
0,315,0.200233,,,,
0,316,0.203042,,,,
0,317,0.201737,,,,
0,318,0.20287,,,,
0,319,0.199211,,,,
0,320,0.198052,,,,
0,321,0.199677,,,,
0,322,0.201462,,,,
0,323,0.202099,,,,
0,324,0.196002,,,,
0,325,0.279539,,,,
0,326,0.200145,,,,
0,327,0.201642,,,,
0,328,0.205261,,,,
0,329,0.277166,,,,
0,330,0.204808,,,,
0,331,0.203447,,,,
0,332,0.200269,,,,
0,333,0.282916,,,,
0,334,0.200373,,,,
0,335,0.1975,,,,
0,336,0.202628,,,,
0,337,0.198103,,,,
0,338,0.202745,,,,
0,339,0.206793,,,,
0,340,0.269661,,,,
0,341,0.196501,,,,
0,342,0.197589,,,,
0,343,0.198462,,,,
0,344,0.199259,,,,
0,345,0.203984,,,,
0,346,0.27963,,,,
0,347,0.20892,,,,
0,348,0.200029,,,,
0,349,0.282721,,,,
0,350,0.203775,,,,
0,351,0.19787,,,,
0,352,0.202716,,,,
0,353,0.289664,,,,
0,354,0.198021,,,,
0,355,0.286508,,,,
0,356,0.196099,,,,
0,357,0.20211,,,,
0,358,0.208943,,,,
0,359,0.196597,,,,
0,360,0.204754,,,,
0,361,0.205063,,,,
0,362,0.203371,,,,
0,363,0.2136,,,,
0,364,0.208447,,,,
0,365,0.287299,,,,
0,366,0.202487,,,,
0,367,0.197949,,,,
0,368,0.20188,,,,
0,369,0.20985,,,,
0,370,0.20798,,,,
0,371,0.209452,,,,
0,372,0.209491,,,,
0,373,0.210729,,,,
0,374,0.294119,,,,
0,375,0.199786,,,,
0,376,0.201925,,,,
0,377,0.20801,,,,
0,378,0.206855,,,,
0,379,0.21013,,,,
0,380,0.213567,,,,
0,381,0.214168,,,,
0,382,0.215944,,,,
0,383,0.212441,,,,
0,384,0.211223,,,,
0,385,0.218791,,,,
0,386,0.275883,,,,
0,387,0.202293,,,,
0,388,0.224126,,,,
0,389,0.209531,,,,
0,390,0.210504,,,,
0,391,0.212447,,,,
0,392,0.209158,,,,
0,393,0.216968,,,,
0,394,0.210975,,,,
0,395,0.211885,,,,
0,396,0.214735,,,,
0,397,0.210287,,,,
0,398,0.278793,,,,
0,399,0.204765,,,,
0,400,0.20108,,,,
0,401,0.203268,,,,
1,402,0.212641,white,0.001577,hatchback,0.075138
1,403,0.203986,white,0.001515,hatchback,0.207565
1,404,0.20065,white,0.001472,hatchback,0.070411
1,405,0.20199,white,0.001483,hatchback,0.075746
1,406,0.221939,white,0.001501,hatchback,0.210589
1,407,0.232779,white,0.001482,hatchback,0.072007
1,408,0.256859,white,0.001511,hatchback,0.072251
1,409,0.205484,white,0.001481,hatchback,0.209475
1,410,0.215267,white,0.0015,hatchback,0.069849
1,411,0.2064,white,0.00147,hatchback,0.073533
0,412,0.209579,white,0.001515,hatchback,0.061245
1,413,0.20391,white,0.001462,hatchback,0.210382
0,414,0.203874,white,0.001482,hatchback,0.071254
1,415,0.203326,white,0.001491,hatchback,0.07207
0,416,0.218604,white,0.001482,hatchback,0.085412
0,417,0.204301,white,0.001515,hatchback,0.065651
1,418,0.205842,white,0.00146,hatchback,0.070682
0,419,0.219675,white,0.001482,hatchback,0.075412
1,420,0.203599,white,0.00154,hatchback,0.072405
0,421,0.216061,white,0.001577,hatchback,0.094512
0,422,0.278575,white,0.001515,hatchback,0.075746
0,423,0.275404,white,0.001472,hatchback,0.210589
0,424,0.284046,white,0.001483,hatchback,0.072007
0,425,0.212221,white,0.001501,hatchback,0.072251
0,426,0.199573,white,0.001482,hatchback,0.209475
0,427,0.203381,white,0.001511,hatchback,0.096344
0,428,0.202978,white,0.001481,hatchback,0.0754512
0,429,0.202929,white,0.001354,hatchback,0.0955412
1,430,0.201875,silver,0.001492,hatchback,0.223141
0,431,0.202613,,,,
0,432,0.199779,,,,
0,433,0.200806,,,,
0,434,0.1999,,,,
0,435,0.201142,,,,
0,436,0.203396,,,,
0,437,0.203287,,,,
0,438,0.200865,,,,
0,439,0.200086,,,,
0,440,0.199817,,,,
0,441,0.281947,,,,
0,442,0.202912,,,,
0,443,0.200124,,,,
0,444,0.202828,,,,
0,445,0.196218,,,,
0,446,0.201332,,,,
0,447,0.203807,,,,
0,448,0.201631,,,,
0,449,0.199584,,,,
0,450,0.271747,,,,
0,451,0.199321,,,,
0,452,0.202803,,,,
0,453,0.267358,,,,
0,454,0.197056,,,,
0,455,0.206919,,,,
0,456,0.204449,,,,
